datetime,Global_active_power,Sub_metering_1,Sub_metering_2,Sub_metering_3,tempC,humidity,windspeedKmph,weekday,time
2008-07-31 23:00:00,1.8930666,0.0,0.588,0.155,20,90,13,0,0
2008-08-01 00:00:00,0.46033332,0.0,0.072,0.113,19,90,14,0,1
2008-08-01 01:00:00,0.40596667,0.0,0.042999998,0.114999995,18,89,15,0,2
2008-08-01 02:00:00,0.39073333,0.0,0.03,0.118,17,89,15,0,3
2008-08-01 03:00:00,0.36143333,0.0,0.023,0.116,17,87,14,0,4
2008-08-01 04:00:00,0.4012,0.0,0.042999998,0.111999996,16,84,14,0,5
2008-08-01 05:00:00,0.33613333,0.0,0.042,0.109,16,82,13,0,6
2008-08-01 06:00:00,0.65676665,0.0,0.021,0.108,17,75,14,0,7
2008-08-01 07:00:00,1.6942,0.16600001,0.491,0.665,18,69,15,0,8
2008-08-01 08:00:00,0.86116666,0.42,0.046,0.111999996,20,63,17,0,9
2008-08-01 09:00:00,1.1580666,0.0,0.033999998,0.744,21,58,16,0,10
2008-08-01 10:00:00,1.1604667,0.0,0.007999999,0.95600003,22,54,15,0,11
2008-08-01 11:00:00,0.32216668,0.0,0.022,0.108,23,50,14,0,12
2008-08-01 12:00:00,0.3069,0.0,0.031,0.108,23,51,15,0,13
2008-08-01 13:00:00,0.3369,0.0,0.029,0.11,22,52,15,0,14
2008-08-01 14:00:00,0.19703333,0.0,0.0009999999,0.039,22,54,15,0,15
2008-08-01 15:00:00,0.3383,0.0,0.031,0.109,22,56,12,0,16
2008-08-01 16:00:00,0.3003,0.0,0.031,0.107,21,59,9,0,17
2008-08-01 17:00:00,0.30906668,0.0,0.019,0.106,21,61,5,0,18
2008-08-01 18:00:00,0.2969,0.0,0.012,0.105,20,65,7,0,19
2008-08-01 19:00:00,0.30596668,0.0,0.03,0.108,19,69,8,0,20
2008-08-01 20:00:00,0.49,0.0,0.03,0.27,18,72,10,0,21
2008-08-01 21:00:00,0.6163333,0.0,0.006,0.441,18,75,9,0,22
2008-08-01 22:00:00,0.30383334,0.0,0.024999999,0.105,17,77,8,0,23
2008-08-01 23:00:00,0.3161,0.0,0.03,0.107,16,80,8,1,0
2008-08-02 00:00:00,0.29203334,0.0,0.024999999,0.101,16,82,8,1,1
2008-08-02 01:00:00,0.2882,0.0,0.005,0.105,15,85,9,1,2
2008-08-02 02:00:00,0.30623335,0.0,0.03,0.103,14,87,10,1,3
2008-08-02 03:00:00,0.30173334,0.0,0.03,0.104,15,86,11,1,4
2008-08-02 04:00:00,0.2642,0.0,0.011,0.075,15,85,12,1,5
2008-08-02 05:00:00,0.25506666,0.0,0.019,0.067999996,15,84,13,1,6
2008-08-02 06:00:00,0.30033332,0.0,0.03,0.105,16,84,14,1,7
2008-08-02 07:00:00,0.3146,0.0,0.026999999,0.105000004,16,85,15,1,8
2008-08-02 08:00:00,0.6282667,0.0,0.003,0.46100003,16,85,17,1,9
2008-08-02 09:00:00,0.74826664,0.0,0.029,0.50600004,16,86,16,1,10
2008-08-02 10:00:00,0.24623333,0.0,0.03,0.039,16,86,16,1,11
2008-08-02 11:00:00,0.27386665,0.0,0.012,0.103,17,87,16,1,12
2008-08-02 12:00:00,0.3034,0.0,0.016999999,0.1,17,88,18,1,13
2008-08-02 13:00:00,0.30086666,0.0,0.029,0.107,17,89,19,1,14
2008-08-02 14:00:00,0.29786667,0.0,0.027999999,0.102,18,90,21,1,15
2008-08-02 15:00:00,0.21953334,0.0,0.0019999999,0.04,18,91,17,1,16
2008-08-02 16:00:00,0.28626665,0.0,0.03,0.1,18,91,14,1,17
2008-08-02 17:00:00,0.3158,0.0,0.029,0.104,19,92,11,1,18
2008-08-02 18:00:00,0.28036666,0.0,0.012,0.102,19,92,11,1,19
2008-08-02 19:00:00,0.2798,0.0,0.016999999,0.103,19,93,12,1,20
2008-08-02 20:00:00,0.93866664,0.0,0.03,0.72900003,19,94,12,1,21
2008-08-02 21:00:00,0.41226667,0.0,0.026999999,0.24000001,18,95,9,1,22
2008-08-02 22:00:00,0.29230002,0.0,0.0019999999,0.104,18,96,6,1,23
2008-08-02 23:00:00,0.28343335,0.0,0.03,0.097,17,98,3,1,0
2008-08-03 00:00:00,0.2331,0.0,0.029,0.039,17,97,6,1,1
2008-08-03 01:00:00,0.2882,0.0,0.011,0.101,16,97,9,1,2
2008-08-03 02:00:00,0.26103333,0.0,0.018,0.099,16,97,13,1,3
2008-08-03 03:00:00,0.3198,0.0,0.029,0.102,16,97,13,1,4
2008-08-03 04:00:00,0.27786666,0.0,0.025999999,0.101,16,97,14,1,5
2008-08-03 05:00:00,0.2124,0.0,0.0039999997,0.038,16,96,14,1,6
2008-08-03 06:00:00,0.3034,0.0,0.03,0.101,16,96,14,1,7
2008-08-03 07:00:00,0.27593333,0.0,0.029,0.097,17,95,15,1,8
2008-08-03 08:00:00,1.0046667,0.0,0.005,0.809,17,95,15,1,9
2008-08-03 09:00:00,0.46743333,0.0,0.024999999,0.294,18,92,15,1,10
2008-08-03 10:00:00,0.252,0.0,0.029,0.047,19,88,14,1,11
2008-08-03 11:00:00,0.2839,0.0,0.019,0.098,21,85,14,1,12
2008-08-03 12:00:00,0.26103333,0.0,0.01,0.097,21,84,15,1,13
